[2013-10-6 15:58:26 23]  ModulePath: C:\Program Files\ViewEye\Client\nvtcodec\VideoLib.DLL [file:Config.cpp line:21]
[2013-10-6 15:58:29 90]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 90]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 92]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 92]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 95]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 95]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 95]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 97]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 97]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 100]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 100]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 103]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 104]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 104]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 105]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 106]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 108]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 108]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 110]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 113]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 113]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 113]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 116]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 116]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 116]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 117]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 118]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 118]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 118]  head1============36head2==============0payloadlen======0 [file:CVideoElement.cpp line:2014]
[2013-10-6 15:58:29 119]  head1============36head2==============0payloadlen======0 [file:CVideoElement.cpp line:2014]
[2013-10-6 15:58:29 123]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 123]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 126]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 126]  ++++++ Find I Frame ++++++ [file:CVideoElement.cpp line:3227]
